Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Sahastradhara,4800,1287000.0,Female,Yes,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Gym",Sahastradhara 4800 1287000.0 Female Yes No Yes Grocery Stores Medical Shops Restaurants Gym
Nehru Marg,5700,1342000.0,Female,Yes,Yes,Yes,"Transportation, Medical Shops, Gym, Grocery Stores",Nehru Marg 5700 1342000.0 Female Yes Yes Yes Transportation Medical Shops Gym Grocery Stores
GK army Pre Primary School,5100,1453000.0,Male,No,Yes,No,"Restaurants, Medical Shops",GK army Pre Primary School 5100 1453000.0 Male No Yes No Restaurants Medical Shops
Manav Kendra,7500,1054000.0,Female,No,Yes,No,"Grocery Stores, Transportation, Restaurants, Medical Shops",Manav Kendra 7500 1054000.0 Female No Yes No Grocery Stores Transportation Restaurants Medical Shops
ISBT Road,6300,1171000.0,Male,Yes,Yes,Yes,"Transportation, Grocery Stores, Medical Shops, Gym",ISBT Road 6300 1171000.0 Male Yes Yes Yes Transportation Grocery Stores Medical Shops Gym
Pant Road,5000,1373000.0,Male,Yes,No,No,"Medical Shops, Gym, Transportation",Pant Road 5000 1373000.0 Male Yes No No Medical Shops Gym Transportation
St Mary Church,5600,1134000.0,Female,Yes,No,No,Transportation,St Mary Church 5600 1134000.0 Female Yes No No Transportation
Nehru Marg,4400,1431000.0,Female,Yes,No,No,"Transportation, Medical Shops, Grocery Stores, Restaurants, Gym",Nehru Marg 4400 1431000.0 Female Yes No No Transportation Medical Shops Grocery Stores Restaurants Gym
Clement Town,7600,1237000.0,Female,No,Yes,No,"Medical Shops, Gym, Transportation, Restaurants",Clement Town 7600 1237000.0 Female No Yes No Medical Shops Gym Transportation Restaurants
"Lane-2, Clement Town",5600,1191000.0,Female,No,Yes,Yes,"Gym, Transportation",Lane-2 Clement Town 5600 1191000.0 Female No Yes Yes Gym Transportation
"Lane-4, Clement Town",5700,1039000.0,Male,Yes,No,Yes,"Medical Shops, Gym, Grocery Stores, Restaurants, Transportation",Lane-4 Clement Town 5700 1039000.0 Male Yes No Yes Medical Shops Gym Grocery Stores Restaurants Transportation
"Clement Town, Post Office Road, Lane No 10",4300,1327000.0,Male,No,Yes,Yes,Gym,Clement Town Post Office Road Lane No 10 4300 1327000.0 Male No Yes Yes Gym
ISBT Road,6100,1041000.0,Male,No,Yes,No,Medical Shops,ISBT Road 6100 1041000.0 Male No Yes No Medical Shops
St Mary Church,5700,1242000.0,Male,No,Yes,Yes,"Restaurants, Medical Shops",St Mary Church 5700 1242000.0 Male No Yes Yes Restaurants Medical Shops
"Subhash Nagar, Dehradun",7500,1423000.0,Female,No,No,Yes,"Restaurants, Medical Shops, Transportation",Subhash Nagar Dehradun 7500 1423000.0 Female No No Yes Restaurants Medical Shops Transportation
"Lane-3, Clement Town",5400,1220000.0,Female,Yes,Yes,Yes,Grocery Stores,Lane-3 Clement Town 5400 1220000.0 Female Yes Yes Yes Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7400,1174000.0,Female,Yes,Yes,Yes,"Transportation, Medical Shops, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 7400 1174000.0 Female Yes Yes Yes Transportation Medical Shops Restaurants
Air Force Colony,4300,1342000.0,Female,No,No,Yes,"Grocery Stores, Transportation",Air Force Colony 4300 1342000.0 Female No No Yes Grocery Stores Transportation
Air Force Colony,7400,1249000.0,Male,Yes,Yes,Yes,Restaurants,Air Force Colony 7400 1249000.0 Male Yes Yes Yes Restaurants
Nehru Marg,4600,1488000.0,Female,No,No,No,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation",Nehru Marg 4600 1488000.0 Female No No No Medical Shops Restaurants Grocery Stores Gym Transportation
"Clement Town, Post Office Road, Lane No 10",5900,1271000.0,Male,No,Yes,No,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops",Clement Town Post Office Road Lane No 10 5900 1271000.0 Male No Yes No Transportation Restaurants Gym Grocery Stores Medical Shops
Air Force Colony,6300,1427000.0,Male,No,Yes,No,"Restaurants, Transportation, Grocery Stores, Gym, Medical Shops",Air Force Colony 6300 1427000.0 Male No Yes No Restaurants Transportation Grocery Stores Gym Medical Shops
Mohabbewala,4100,1180000.0,Female,Yes,Yes,Yes,"Medical Shops, Grocery Stores",Mohabbewala 4100 1180000.0 Female Yes Yes Yes Medical Shops Grocery Stores
Gurn Nanak Road,6800,1424000.0,Female,No,No,Yes,"Gym, Transportation, Restaurants",Gurn Nanak Road 6800 1424000.0 Female No No Yes Gym Transportation Restaurants
Clement Town,6800,1267000.0,Male,No,Yes,Yes,"Restaurants, Transportation, Gym, Medical Shops",Clement Town 6800 1267000.0 Male No Yes Yes Restaurants Transportation Gym Medical Shops
Tibetan Colony,6400,1045000.0,Male,No,No,Yes,Gym,Tibetan Colony 6400 1045000.0 Male No No Yes Gym
Clement Town,6600,1145000.0,Male,No,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants",Clement Town 6600 1145000.0 Male No Yes No Grocery Stores Transportation Gym Restaurants
St Mary Church,4900,1251000.0,Female,Yes,Yes,No,"Gym, Grocery Stores, Transportation",St Mary Church 4900 1251000.0 Female Yes Yes No Gym Grocery Stores Transportation
Mohabbewala,6200,1400000.0,Male,No,No,Yes,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops",Mohabbewala 6200 1400000.0 Male No No Yes Grocery Stores Restaurants Transportation Gym Medical Shops
Gurn Nanak Road,4600,1356000.0,Female,No,No,Yes,Transportation,Gurn Nanak Road 4600 1356000.0 Female No No Yes Transportation
Subhash Nagar,7000,1185000.0,Male,Yes,No,Yes,Medical Shops,Subhash Nagar 7000 1185000.0 Male Yes No Yes Medical Shops
"Subhash Nagar, Dehradun",5700,1081000.0,Male,No,No,No,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",Subhash Nagar Dehradun 5700 1081000.0 Male No No No Gym Transportation Grocery Stores Restaurants Medical Shops
Subhash Nagar,4400,1401000.0,Male,Yes,Yes,Yes,"Restaurants, Transportation, Grocery Stores",Subhash Nagar 4400 1401000.0 Male Yes Yes Yes Restaurants Transportation Grocery Stores
"Lane-3, Clement Town",5400,1207000.0,Female,No,Yes,Yes,"Grocery Stores, Gym, Transportation, Medical Shops",Lane-3 Clement Town 5400 1207000.0 Female No Yes Yes Grocery Stores Gym Transportation Medical Shops
Mohabbewala,6400,1330000.0,Female,Yes,Yes,No,"Gym, Grocery Stores",Mohabbewala 6400 1330000.0 Female Yes Yes No Gym Grocery Stores
ISBT Road,7900,1322000.0,Female,Yes,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",ISBT Road 7900 1322000.0 Female Yes Yes Yes Medical Shops Transportation Gym Grocery Stores Restaurants
"Lane-3, Clement Town",7700,1413000.0,Female,No,No,No,Restaurants,Lane-3 Clement Town 7700 1413000.0 Female No No No Restaurants
Sahastradhara,5700,1104000.0,Male,No,No,No,"Gym, Restaurants",Sahastradhara 5700 1104000.0 Male No No No Gym Restaurants
Subhash Nagar,6800,1338000.0,Male,Yes,No,No,"Gym, Medical Shops, Grocery Stores",Subhash Nagar 6800 1338000.0 Male Yes No No Gym Medical Shops Grocery Stores
Gurn Nanak Road,5600,1063000.0,Female,No,No,Yes,"Gym, Medical Shops, Transportation, Restaurants",Gurn Nanak Road 5600 1063000.0 Female No No Yes Gym Medical Shops Transportation Restaurants
"Subhash Nagar, Dehradun",5800,1462000.0,Male,No,Yes,No,"Grocery Stores, Gym, Restaurants",Subhash Nagar Dehradun 5800 1462000.0 Male No Yes No Grocery Stores Gym Restaurants
"Lane-4, Clement Town",4300,1465000.0,Male,No,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants",Lane-4 Clement Town 4300 1465000.0 Male No No Yes Medical Shops Transportation Grocery Stores Restaurants
"Lane-2, Clement Town",6300,1260000.0,Male,Yes,Yes,Yes,"Transportation, Restaurants",Lane-2 Clement Town 6300 1260000.0 Male Yes Yes Yes Transportation Restaurants
"Lane-2, Clement Town",6100,1155000.0,Female,No,Yes,No,"Grocery Stores, Transportation, Medical Shops, Gym",Lane-2 Clement Town 6100 1155000.0 Female No Yes No Grocery Stores Transportation Medical Shops Gym
St Mary Church,4000,1215000.0,Female,Yes,No,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants",St Mary Church 4000 1215000.0 Female Yes No Yes Grocery Stores Gym Medical Shops Restaurants
St Mary Church,4300,1171000.0,Male,No,No,Yes,"Grocery Stores, Transportation, Gym",St Mary Church 4300 1171000.0 Male No No Yes Grocery Stores Transportation Gym
Nehru Marg,7400,1030000.0,Female,Yes,No,Yes,Restaurants,Nehru Marg 7400 1030000.0 Female Yes No Yes Restaurants
Gurn Nanak Road,5600,1460000.0,Female,No,Yes,No,"Gym, Restaurants",Gurn Nanak Road 5600 1460000.0 Female No Yes No Gym Restaurants
"Clement Town, Post Office Road, Lane No 10",4500,1066000.0,Female,Yes,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 4500 1066000.0 Female Yes Yes Yes Restaurants Medical Shops Grocery Stores Transportation
Pant Road,4200,1058000.0,Male,Yes,Yes,No,"Grocery Stores, Gym, Restaurants, Transportation",Pant Road 4200 1058000.0 Male Yes Yes No Grocery Stores Gym Restaurants Transportation
"Lane-3, Clement Town",6700,1498000.0,Female,No,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Transportation",Lane-3 Clement Town 6700 1498000.0 Female No No Yes Medical Shops Restaurants Grocery Stores Transportation
"Clement Town, Post Office Road, Lane No 10",7400,1404000.0,Female,Yes,No,Yes,"Gym, Grocery Stores, Medical Shops, Restaurants",Clement Town Post Office Road Lane No 10 7400 1404000.0 Female Yes No Yes Gym Grocery Stores Medical Shops Restaurants
Mohabbewala,6500,1059000.0,Male,Yes,Yes,Yes,"Transportation, Medical Shops, Grocery Stores, Restaurants",Mohabbewala 6500 1059000.0 Male Yes Yes Yes Transportation Medical Shops Grocery Stores Restaurants
"Lane-10, Post Office Road",7600,1260000.0,Male,Yes,Yes,No,"Gym, Medical Shops",Lane-10 Post Office Road 7600 1260000.0 Male Yes Yes No Gym Medical Shops
Sahastradhara,6100,1104000.0,Male,No,No,No,"Gym, Grocery Stores, Restaurants",Sahastradhara 6100 1104000.0 Male No No No Gym Grocery Stores Restaurants
St Mary Church,4500,1335000.0,Male,No,No,No,"Grocery Stores, Medical Shops",St Mary Church 4500 1335000.0 Male No No No Grocery Stores Medical Shops
St Mary Church,7900,1269000.0,Male,No,Yes,No,"Medical Shops, Gym, Grocery Stores",St Mary Church 7900 1269000.0 Male No Yes No Medical Shops Gym Grocery Stores
Pant Road,6700,1024000.0,Female,No,No,No,"Restaurants, Gym, Medical Shops, Grocery Stores",Pant Road 6700 1024000.0 Female No No No Restaurants Gym Medical Shops Grocery Stores
Nehru Marg,4900,1218000.0,Male,No,Yes,Yes,Restaurants,Nehru Marg 4900 1218000.0 Male No Yes Yes Restaurants
Pant Road,7800,1082000.0,Male,Yes,No,Yes,"Gym, Transportation",Pant Road 7800 1082000.0 Male Yes No Yes Gym Transportation
Pant Road,7000,1497000.0,Male,No,Yes,Yes,"Medical Shops, Restaurants",Pant Road 7000 1497000.0 Male No Yes Yes Medical Shops Restaurants
Bell Road,7700,1185000.0,Male,No,Yes,No,Grocery Stores,Bell Road 7700 1185000.0 Male No Yes No Grocery Stores
Bharuwala colony,7800,1035000.0,Male,Yes,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",Bharuwala colony 7800 1035000.0 Male Yes Yes Yes Medical Shops Transportation Gym Grocery Stores Restaurants
Bharuwala colony,5100,1044000.0,Female,Yes,Yes,Yes,"Medical Shops, Gym, Grocery Stores, Transportation",Bharuwala colony 5100 1044000.0 Female Yes Yes Yes Medical Shops Gym Grocery Stores Transportation
"Lane-1, Clement Town",5900,1262000.0,Male,Yes,No,Yes,"Transportation, Medical Shops",Lane-1 Clement Town 5900 1262000.0 Male Yes No Yes Transportation Medical Shops
Air Force Colony,5800,1344000.0,Male,No,Yes,Yes,"Medical Shops, Transportation",Air Force Colony 5800 1344000.0 Male No Yes Yes Medical Shops Transportation
"Lane-2, Clement Town",6900,1018000.0,Female,No,Yes,No,Grocery Stores,Lane-2 Clement Town 6900 1018000.0 Female No Yes No Grocery Stores
Sahastradhara,7000,1176000.0,Male,No,No,No,"Restaurants, Transportation, Gym, Medical Shops",Sahastradhara 7000 1176000.0 Male No No No Restaurants Transportation Gym Medical Shops
St Mary Church,6800,1274000.0,Male,No,No,No,Restaurants,St Mary Church 6800 1274000.0 Male No No No Restaurants
Pant Road,7000,1393000.0,Female,Yes,No,Yes,"Transportation, Restaurants, Grocery Stores, Gym",Pant Road 7000 1393000.0 Female Yes No Yes Transportation Restaurants Grocery Stores Gym
Pant Road,7200,1215000.0,Female,Yes,Yes,Yes,Gym,Pant Road 7200 1215000.0 Female Yes Yes Yes Gym
Shubhash Nagar,4800,1169000.0,Male,Yes,Yes,No,Transportation,Shubhash Nagar 4800 1169000.0 Male Yes Yes No Transportation
GK army Pre Primary School,5700,1457000.0,Male,Yes,Yes,No,Transportation,GK army Pre Primary School 5700 1457000.0 Male Yes Yes No Transportation
Jaligaon,7900,1438000.0,Male,No,No,Yes,"Transportation, Restaurants",Jaligaon 7900 1438000.0 Male No No Yes Transportation Restaurants
ISBT Road,5300,1108000.0,Female,Yes,Yes,No,"Restaurants, Gym",ISBT Road 5300 1108000.0 Female Yes Yes No Restaurants Gym
Manav Kendra,7200,1186000.0,Female,Yes,Yes,No,Grocery Stores,Manav Kendra 7200 1186000.0 Female Yes Yes No Grocery Stores
"Lane-1, Clement Town",7000,1490000.0,Female,Yes,No,Yes,"Medical Shops, Restaurants",Lane-1 Clement Town 7000 1490000.0 Female Yes No Yes Medical Shops Restaurants
"Clement Town, Post Office Road, Lane No 10",6500,1224000.0,Female,No,Yes,No,"Transportation, Restaurants",Clement Town Post Office Road Lane No 10 6500 1224000.0 Female No Yes No Transportation Restaurants
"Lane-4, Clement Town",7300,1103000.0,Male,No,Yes,No,"Grocery Stores, Gym, Restaurants",Lane-4 Clement Town 7300 1103000.0 Male No Yes No Grocery Stores Gym Restaurants
Bell Road,6300,1374000.0,Male,Yes,No,Yes,"Grocery Stores, Gym",Bell Road 6300 1374000.0 Male Yes No Yes Grocery Stores Gym
Morowala,7400,1243000.0,Male,No,Yes,No,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",Morowala 7400 1243000.0 Male No Yes No Medical Shops Transportation Gym Grocery Stores Restaurants
"Lane-4, Clement Town",5300,1054000.0,Male,No,No,No,"Grocery Stores, Gym, Transportation",Lane-4 Clement Town 5300 1054000.0 Male No No No Grocery Stores Gym Transportation
St Mary Church,4300,1087000.0,Male,Yes,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",St Mary Church 4300 1087000.0 Male Yes No Yes Grocery Stores Restaurants Medical Shops Transportation Gym
Sahastradhara,6500,1373000.0,Female,No,Yes,Yes,"Restaurants, Transportation",Sahastradhara 6500 1373000.0 Female No Yes Yes Restaurants Transportation
"Subhash Nagar, Dehradun",6700,1173000.0,Female,Yes,Yes,No,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants",Subhash Nagar Dehradun 6700 1173000.0 Female Yes Yes No Medical Shops Grocery Stores Gym Transportation Restaurants
Shubhash Nagar,7500,1494000.0,Male,No,Yes,Yes,"Restaurants, Gym, Medical Shops, Transportation",Shubhash Nagar 7500 1494000.0 Male No Yes Yes Restaurants Gym Medical Shops Transportation
Nehru Marg,5000,1403000.0,Female,No,Yes,Yes,"Restaurants, Grocery Stores, Medical Shops",Nehru Marg 5000 1403000.0 Female No Yes Yes Restaurants Grocery Stores Medical Shops
Tibetan Colony,5900,1141000.0,Male,Yes,No,No,"Restaurants, Transportation",Tibetan Colony 5900 1141000.0 Male Yes No No Restaurants Transportation
Tibetan Colony,6800,1262000.0,Female,Yes,No,Yes,Medical Shops,Tibetan Colony 6800 1262000.0 Female Yes No Yes Medical Shops
Nehru Marg,8000,1281000.0,Male,Yes,No,Yes,"Restaurants, Gym, Medical Shops",Nehru Marg 8000 1281000.0 Male Yes No Yes Restaurants Gym Medical Shops
"Lane-4, Clement Town",5200,1126000.0,Female,Yes,No,Yes,"Grocery Stores, Transportation",Lane-4 Clement Town 5200 1126000.0 Female Yes No Yes Grocery Stores Transportation
Bell Road,6500,1137000.0,Female,No,No,Yes,"Restaurants, Grocery Stores, Gym",Bell Road 6500 1137000.0 Female No No Yes Restaurants Grocery Stores Gym
"Subhash Nagar, Dehradun",6700,1390000.0,Male,No,Yes,Yes,Grocery Stores,Subhash Nagar Dehradun 6700 1390000.0 Male No Yes Yes Grocery Stores
"Lane-3, Clement Town",6100,1152000.0,Female,No,No,No,"Medical Shops, Gym",Lane-3 Clement Town 6100 1152000.0 Female No No No Medical Shops Gym
"Subhash Nagar, Dehradun",7500,1149000.0,Female,Yes,No,Yes,"Transportation, Medical Shops, Gym",Subhash Nagar Dehradun 7500 1149000.0 Female Yes No Yes Transportation Medical Shops Gym
GK army Pre Primary School,6900,1434000.0,Female,No,No,No,"Restaurants, Grocery Stores, Medical Shops, Transportation",GK army Pre Primary School 6900 1434000.0 Female No No No Restaurants Grocery Stores Medical Shops Transportation
Sahastradhara,5600,1338000.0,Female,No,Yes,Yes,"Gym, Medical Shops, Grocery Stores, Transportation",Sahastradhara 5600 1338000.0 Female No Yes Yes Gym Medical Shops Grocery Stores Transportation
Sahastradhara,6800,1121000.0,Male,No,Yes,No,"Grocery Stores, Restaurants, Gym, Transportation, Medical Shops",Sahastradhara 6800 1121000.0 Male No Yes No Grocery Stores Restaurants Gym Transportation Medical Shops
ISBT Road,6400,1102000.0,Female,Yes,No,No,Grocery Stores,ISBT Road 6400 1102000.0 Female Yes No No Grocery Stores
ISBT Road,7000,1140000.0,Male,Yes,No,Yes,"Grocery Stores, Restaurants",ISBT Road 7000 1140000.0 Male Yes No Yes Grocery Stores Restaurants
"Clement Town, Post Office Road, Lane No 10",7500,1088000.0,Male,No,Yes,No,"Medical Shops, Restaurants",Clement Town Post Office Road Lane No 10 7500 1088000.0 Male No Yes No Medical Shops Restaurants
GK army Pre Primary School,7300,1270000.0,Male,Yes,Yes,Yes,"Grocery Stores, Transportation",GK army Pre Primary School 7300 1270000.0 Male Yes Yes Yes Grocery Stores Transportation
Air Force Colony,4300,1211000.0,Male,No,No,Yes,Restaurants,Air Force Colony 4300 1211000.0 Male No No Yes Restaurants
"Clement Town, Post Office Road, Lane No 10",6100,1242000.0,Female,No,No,Yes,"Transportation, Medical Shops",Clement Town Post Office Road Lane No 10 6100 1242000.0 Female No No Yes Transportation Medical Shops
Nehru Marg,8000,1215000.0,Male,No,Yes,Yes,"Restaurants, Medical Shops, Gym, Transportation",Nehru Marg 8000 1215000.0 Male No Yes Yes Restaurants Medical Shops Gym Transportation
Bell Road,5000,1401000.0,Male,Yes,No,No,"Gym, Grocery Stores, Transportation",Bell Road 5000 1401000.0 Male Yes No No Gym Grocery Stores Transportation
"Lane-1, Clement Town",5900,1053000.0,Female,Yes,No,Yes,"Restaurants, Medical Shops, Gym, Grocery Stores",Lane-1 Clement Town 5900 1053000.0 Female Yes No Yes Restaurants Medical Shops Gym Grocery Stores
"Subhash Nagar, Dehradun",7900,1060000.0,Male,No,No,Yes,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation",Subhash Nagar Dehradun 7900 1060000.0 Male No No Yes Restaurants Medical Shops Grocery Stores Gym Transportation
ISBT Road,5000,1404000.0,Male,No,Yes,Yes,"Grocery Stores, Gym, Transportation, Restaurants",ISBT Road 5000 1404000.0 Male No Yes Yes Grocery Stores Gym Transportation Restaurants
St Mary Church,4900,1364000.0,Male,Yes,Yes,Yes,"Transportation, Medical Shops, Restaurants, Gym, Grocery Stores",St Mary Church 4900 1364000.0 Male Yes Yes Yes Transportation Medical Shops Restaurants Gym Grocery Stores
